video_id,title,published_date,view_count,hms_format
bFCXaSHY3z0,Claude Code Built a Laravel App From Upwork: Things I've Learned,2026-01-24,3684,0:09:40
beBaZfZL3Sk,What MCPs/Skills Were Actually Used in Last Prompt? (Slash Command),2026-01-23,763,0:03:52
VMY4vukYnec,"I Tried Claude Code Command/Agent To Review ""Feature Completeness""",2026-01-22,1559,0:07:55
ZqvPdvCFlxc,"Two AI Coding Mistakes I'm Making (maybe you, too?)",2026-01-21,2431,0:08:33
YORkZK_m-sM,CLAUDE.md or AGENTS.md: Detect Useless Parts and Clean Up,2026-01-19,4048,0:04:07
PB9_Q2tfe90,Claude Code StatusLine Explained (Free Script Generator),2026-01-18,6661,0:07:31
Jb1_DeN15Bs,NEW in Claude Code: Clear Context and Bypass Permissions,2026-01-17,7501,0:02:19
b1xe7IpxQ9o,"NEW in Claude Code: MCPs Won't ""Eat"" So Much Context",2026-01-15,2378,0:08:20
u_H0s0qI0Kc,"Claude Code ""Trick"" To Run Terminal Commands #claudecode",2026-01-14,3624,0:00:42
I5oHtcfRmb8,Claude Code Prompt: Review AI Agent Work Against Specification,2026-01-13,1388,0:04:28
V_uKO32tdH8,Claude Code as Git Commits Co-Author: How to Remove #claudecode,2026-01-12,10031,0:00:51
jCsBFTgROKg,I Tried Ralph Wiggum Plugin for Claude Code,2026-01-12,2331,0:09:14
gYFPtOUlfJA,How I Use Claude Code Web on My Phone (For Small Changes),2026-01-11,1244,0:04:40
puynahM0Wew,NEW Claude Code Plugin: Code Simplifier,2026-01-09,12183,0:04:01
d3Glwdf_xA8,Spec-Driven Development for AI Agents: I Tried OpenSpec and Others,2026-01-08,39949,0:28:13
mKRJ27PRMjw,The Future (I think) of CLAUDE.md and Other Guidelines,2026-01-07,1447,0:08:05
i83hjCh6or8,Claude Code: Prompt Stashing to Quickly Run Another Prompt #claudecode,2026-01-06,1635,0:00:58
xU18PCIDQ8Y,"Claude Code: in Terminal, in Cursor IDE, or in VS Code Extension?",2026-01-05,47918,0:18:15
OnJ8JjBSu-s,Claude Code: Search Past Prompts #claudecode #aicoding,2026-01-04,1574,0:00:58
6B3_BfKQ7FM,"Claude Code: CLAUDE.md ""Secret Word"" Trick #claudecode",2026-01-02,3205,0:01:39
MO_h4McvCNw,"Claude Code: Plan Mode ""Trick"" for Bigger Feature/Project Spec",2026-01-02,9429,0:06:57
R3xPIL1pDfk,"Coding Exam Project with AI: Part 9/9 - Dashboards, Opus, and Series Finale",2025-12-31,837,0:16:51
QSL-lobruL4,Coding Exam Project with AI: Part 8/9 - Taking Quiz and Result Page,2025-12-30,403,0:14:33
ooQ4yjSWXsk,Coding Exam Project with AI: Part 7/9 - Quiz Service and List of Quizzes,2025-12-29,484,0:12:00
Cb2M5Ang70s,"I Tried to ""Force"" Claude Code to Not Ignore CLAUDE.md Rules",2025-12-27,3264,0:13:43
zkRywzX9Axc,Coding Exam Project with AI: Part 6/9 - Re-planning Quiz Engine into CRUD,2025-12-26,835,0:10:57
xln9yc4Aqzs,I Tried New GLM-4.7 vs Sonnet 4.5 with 2 Coding Tasks,2025-12-23,11452,0:14:19
EpEatOFoxEU,Coding Exam Project with AI: Part 5/9 - Import CSV with Filament,2025-12-22,615,0:09:49
VVD1Onl-DSI,Ask Claude Code What It Ignored in CLAUDE.md #aicoding,2025-12-21,1699,0:00:53
ij6xyUWdhGs,Coding Exam Project with AI: Part 4/9 - Questions Filament CRUD,2025-12-21,786,0:10:59
_lOvvpqH7Vo,Don't Trust ChatGPT or Claude Web for Planning Tech Stack #aicoding,2025-12-20,1211,0:01:00
yAfCXt-UZV0,Coding Exam Project with AI: Part 3/9 - User/Admin Areas Access,2025-12-20,906,0:12:51
vZLlGlcB8_4,I tried NEW Gemini 3 Flash (vs Composer 1 vs Grok Code vs Haiku 4.5),2025-12-18,1917,0:09:11
fJ2WEcBI24U,Coding Exam Project with AI: Part 2/9 - DB Models/Migrations with Sonnet 4.5,2025-12-18,1206,0:08:59
BwIjYzZAm8w,"Coding Exam Project with AI: Part 1/9 - ChatGPT Plan, Laravel Boost, and Guidelines",2025-12-17,4398,0:15:04
tVfdWilGhhg,CLAUDE.md: Important Guidelines on Top or at the Bottom?,2025-12-16,874,0:03:48
PZumcXIEsV4,Gemini 3 Pro is BEST for Visual Design? I Tried in Antigravity vs Cursor.,2025-12-15,2623,0:08:25
VDl0g12A5uE,I Tried New Cursor Browser Visual Editor: Will I Use It?,2025-12-14,2655,0:07:18
HW7F59SXN6Q,I Tried New GPT-5.2 vs Opus 4.5: Any Differences?,2025-12-13,3375,0:08:04
DRhT-fNCQVA,Claude Sonnet 4.5: My Worst Experience Story,2025-12-09,1100,0:06:57
qPBwJLIC6r0,I Tried New GPT-5.1 Codex MAX vs Opus 4.5 and Sonnet. Wow.,2025-12-07,5519,0:13:41
05igl7qCXLY,Stop Claude Code From Skipping Claude.md Rules,2025-12-06,1897,0:05:11
DVlHZufvP10,I Tried Frontend-Design Plugin in Claude Code,2025-12-03,32523,0:06:10
68iQ88A8I-E,I Tried a Prompt to Delete AI-Generated Comments,2025-12-02,841,0:06:06
hUeq5spgAcs,I Tried Claude Opus 4.5 vs Gemini 3 / Sonnet / Codex,2025-12-01,2275,0:14:28
fc8zctjd9Pw,Cursor (IDE) vs Claude Code (CLI): One Underrated Feature,2025-11-29,3362,0:04:50
MmDJ8xLQkD4,Update Claude Code to 2.0.55: Fuzzy Search for Files/Folders,2025-11-27,668,0:01:21
9yXbKqxRR9I,Voice Input for Prompting: Cursor vs Wispr Flow,2025-11-25,2626,0:04:06
HVt7YQk1trE,I've Tried Google Antigravity + Gemini 3 Pro on Laravel/React Project,2025-11-22,8365,0:12:15
qlWXfUA8mk4,AI Guidelines: Should You .gitignore Them? Why (Not)?,2025-11-21,950,0:05:14
H-Tdv9CI57Q,Cursor Composer 1 Price: Tested With Four Other LLMs,2025-11-18,1119,0:06:12
VK56Ww5KLww,NEW Cursor 2.0 Browser: SHOW to AI Agent What You Mean,2025-11-15,6788,0:02:51
vAVVRcNu8S4,Why Laravel is Great for AI Agentic Coding: Two Reasons,2025-11-11,3395,0:08:05
ZRjG-p4EdAo,I've Tested New Cursor Composer 1 Model and Multi-Agents. Wow.,2025-11-09,2832,0:14:35
M3gCRMxSCs8,One Cursor Feature That Keeps it On Top,2025-10-28,1239,0:05:25
NTxxBvrU9Ng,"NEW Claude Haiku 4.5: Cheaper, Faster, Better?",2025-10-25,1565,0:09:40
AiRrrJzqRVE,NEW Claude Code Web/Mobile: First Impressions,2025-10-21,1895,0:11:57
3d0fpldiIX8,One Thing I Hate in Claude Code (Codex is Better),2025-10-19,4572,0:08:29
v73ppZUfZK4,New Plan Mode in Cursor and Claude Code: Which is Better?,2025-10-18,2848,0:08:33
7qe8KpaSErc,I've Tried Claude Code in GitHub Actions (no IDE needed),2025-10-14,1821,0:10:38
A4JlXJlv4og,I've Tested Qwen3-Coder: Another Strong Sonnet/GPT Competitor?,2025-10-10,4436,0:11:28
u15uSPvjuk4,NEW Claude Code 2.0: Three Important Features,2025-10-07,1499,0:08:52
q1cyiKdN4-w,I Tried New GLM-4.6: Better than Sonnet 4.5? (3-Task Test),2025-10-04,10364,0:17:29
AJ1TDQHaiHk,Claude Sonnet 4.5: First Code Quality Test (Sonnet-4 Had Failed This),2025-09-30,1057,0:05:20
X1tZohCljA0,Top 5 AI Coding IDE Prices Compared: Best Deal to Start With?,2025-09-28,3207,0:13:24
J62iJE_oWS0,GPT-5 Codex vs Claude: Showdown on a COMPLEX Project,2025-09-24,3004,0:23:40
p2PVIP9Kujc,"Claude Code Hook: Check Git Status When Running ""Claude""",2025-09-23,436,0:02:52
altX5elI-1k,How I Use Claude Code Plan Mode: 3 Examples,2025-09-18,11413,0:06:00
j6G_sK-VGK4,Live-Vibe-Coding with Claude Code: Real Trading Project from Upwork,2025-09-16,2554,0:59:10
VHhq_VC3As0,LLM Review Another LLM's Code: Better Quality?,2025-09-11,652,0:10:49
kGwTSdGG25o,So I've tried Gemini CLI... Now I get it why it's not very popular.,2025-09-09,5716,0:06:04
F7yIchxJmlc,"One Simple ""Trick"" To Make AI Code Better",2025-09-07,1600,0:03:06
A6ORKAz28NQ,Codex CLI Got MUCH Better: Same as Claude Code?,2025-09-03,1268,0:13:29
ZfiFXuhsGCA,Build/Review DB Schema with AI: ChatGPT Example,2025-09-01,1111,0:07:18
WiQ4K0Th1ss,"NEW Grok-Code-Fast-1 vs Sonnet-4: Speed, Quality, Pricing",2025-08-27,3971,0:14:18
Kl8XPCZ6CHM,VS Code + GitHub Copilot: Head-to-Head vs Cursor,2025-08-25,3952,0:14:20
027TPIPnqs4,Windsurf Review: Sold to Devin but Still Works?,2025-08-21,1911,0:12:51
