id,name,full_name,sector,subsector,market,website,created_at,updated_at
718,ONEE,THE ONE ENTERPRISE PUBLIC COMPANY LIMITED,Services,Media & Publishing,SET100,www.theoneenterprise.com,2022-07-03 00:18:22.223224,2022-07-03 00:18:22.223224
719,"ALLY,ALLY LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property & Construction,Property Fund & REITs,SET,www.allyreit.com",,,,,,2022-07-13 09:57:39.085887,2022-07-13 09:57:39.085887
720,"BE8,BERYL 8 PLUS PUBLIC COMPANY LIMITED,Technology,Technology,mai,www.beryl8.com",,,,,,2022-08-03 08:20:03.078263,2022-08-03 08:20:03.078263
721,BE8,BERYL 8 PLUS PUBLIC COMPANY LIMITED,Technology,Technology,mai,www.beryl8.com,2022-08-05 10:06:47.629079,2022-08-05 10:06:47.629079
722,FPT,FRASERS PROPERTY (THAILAND) PUBLIC COMPANY LIMITED,Property & Construction,Property Development,SET,https://www.frasersproperty.co.th,2022-08-07 08:04:12.049363,2022-08-07 08:04:12.049363
728,AURA,Aurora Design Public Company Limited,Consumer Products,Fashion,SET100 / SET100FF / SETESG / SETWB,http://www.auroradesign.co.th/,2026-03-25 08:03:04.747833,2026-03-25 08:03:04.747833
729,BTG,BETAGRO PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,SET100 / SET100FF / SETESG / SETWB,http://www.betagro.com/,2026-03-25 08:13:08.170405,2026-03-25 08:13:08.170405
730,MOSHI,Moshi Moshi Retail Corporation Public Company Limited,Services ,Commerce,SET100 / SET100FF / SETESG,http://www.moshimoshi.co.th/,2026-03-25 08:14:32.016942,2026-03-25 08:14:32.016942
731,STECON,STECON GROUP PUBLIC COMPANY LIMITED,Property & Construction,Construction Services,SET100 / SET100FF / SETESG,https://www.stecongroup.co.th/,2026-03-25 08:16:35.293723,2026-03-25 08:16:35.293723
732,TLI,THAI LIFE INSURANCE PUBLIC COMPANY LIMITED,Financials ,Insurance,SET100 / SET100FF / SETESG,http://www.thailife.com/,2026-03-25 08:18:05.684223,2026-03-25 08:18:05.684223
