name,date,price,change,%change,open,high,low,volume,value(m)
GUNKUL,2026-08-14,5.1,0.05,0.990099,5.1,5.15,4.96,82754880,418866.22635
GVREIT,2026-08-14,8.3,0.0,0.0,8.25,8.3,8.25,902811,7448.7163
HANA,2026-08-14,39.75,2.0,5.298013,38.5,40.5,38.25,64778540,2559856.02775
HFT,2026-08-14,4.1,-0.04,-0.966184,4.16,4.16,4.1,34900,144.614
HMPRO,2026-08-14,6.7,0.0,0.0,6.65,6.7,6.6,44263956,294688.8833
HTC,2026-08-14,15.7,-0.9,-5.421687,16.6,16.6,15.5,1667509,26271.3729
ICHI,2026-08-14,14.7,-0.4,-2.649007,14.9,14.9,14.5,13664830,200392.9271
III,2026-08-14,4.68,-0.08,-1.680672,4.76,4.82,4.62,1841908,8684.70246
ILM,2026-08-14,13.9,-0.1,-0.714286,14.0,14.1,13.7,413165,5747.1955
IMPACT,2026-08-14,13.2,0.1,0.763359,13.1,13.4,13.1,281918,3727.2289
IRPC,2026-08-14,2.42,-0.1,-3.968254,2.54,2.54,2.4,145427338,354658.03346
IVL,2026-08-14,21.2,-0.3,-1.395349,21.6,21.8,21.0,50997853,1089259.1913
3BBIF,2026-08-14,6.65,0.05,0.757576,6.6,6.65,6.55,19407475,128112.26415
JMART,2026-08-14,10.8,0.2,1.886792,10.6,11.1,10.5,12448643,134801.4314
JMT,2026-08-14,11.4,-0.1,-0.869565,11.5,11.7,11.3,7537980,86386.69440000001
KBANK,2026-08-14,248.0,-1.0,-0.401606,250.0,252.0,247.0,9573273,2389766.779
KCE,2026-08-14,51.75,4.0,8.376963,49.25,52.5,49.0,48109283,2446409.5395
KGI,2026-08-14,4.96,-0.04,-0.8,5.0,5.05,4.92,5489162,27295.17637
KKP,2026-08-14,108.5,-1.5,-1.363636,110.0,110.5,108.0,6558494,715780.976
KTB,2026-08-14,43.75,-0.25,-0.568182,44.25,44.75,43.5,57355797,2526604.2135
KTC,2026-08-14,37.5,-0.75,-1.960784,38.25,38.5,37.0,24416907,920142.63575
LALIN,2026-08-14,4.4,0.0,0.0,4.4,4.4,4.38,60703,267.06314000000003
LANNA,2026-08-14,15.2,0.1,0.662252,15.2,15.2,15.1,339578,5153.0665
LH,2026-08-14,3.7,-0.1,-2.631579,3.74,3.76,3.7,50992192,189920.06954
LPN,2026-08-14,1.61,-0.01,-0.617284,1.62,1.62,1.6,567711,913.7638900000001
M,2026-08-14,21.6,0.7,3.349282,21.4,22.4,21.3,8835958,192973.8575
MAJOR,2026-08-14,7.15,0.0,0.0,7.15,7.15,7.0,1555892,10989.2788
MC,2026-08-14,11.8,0.0,0.0,11.8,11.9,11.7,1336467,15771.534
MCS,2026-08-14,7.9,0.0,0.0,7.9,7.95,7.85,437447,3454.2370499999997
MEGA,2026-08-14,38.0,-1.0,-2.564103,38.75,39.0,37.25,2864002,108617.84675
MINT,2026-08-14,23.0,-0.1,-0.4329,23.1,23.2,22.8,20920589,480229.8659
