song_title_db,artist_name_db,youtube_code
Handy Man,James Taylor,W551fO839oc
Moondance,Van Morrison,6lFxGBB4UGU
"He Ain't Heavy, He's My Brother",Hollies The,iPDl9yKSnDE
I'll Be There,Jackson 5 The,84zsExtaKHY
All Right Now,Free ,bpLv4M4paSI
Make It With You,Bread ,8ATI4S7N9ks
If,Bread ,wjgJh0Nwbt4
Aubrey,Bread ,9IWxocGm21U
"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,cBDqgSOwxkc
We didn't start the fire,Billy Joel,eFTLKWw542g
Running on Empty,Jackson Browne,8I5vJnW-aW4
I Will Survive,Gloria Gaynor,ZBR2G-iI3-I
Under the Boardwalk,Drifters The,EPEqRMVnZNU
Lady Marmalade,LaBelle ,t4LWIP7SAjY
Cry Me a River,Justin Timberlake,DksSPZTZES0
White Rabbit,Jefferson Airplane ,EUY2kJE0AZE
Since U Been Gone,Kelly Clarkson,R7UrFYvl5TE
My Sweet Lord,George Harrison,04v-SdKeEpE
Cupid,Sam Cooke,S28tILqie1o
I Shot the Sheriff,Bob Marley and the Wailers ,nrnZSLwfzVs
In Da Club,50 Cent ,5qm8PH4xAss
Love Me Tender,Elvis Presley,-Y-bd3aDMGA
Changes,David Bowie,BPPSu0vaNWA
Who Do You Love?,Bo Diddley,1_3xCw4wJqQ
Everyday People,Sly and the Family Stone ,YUUhDoCx8zc
I Wanna Be Sedated,Ramones ,vves6CqmVic
Eight Miles High,Byrds The,J74ttSR8lEg
Papa Was a Rollin’ Stone,Temptations The,pJV2pWFyfn4
I Never Loved a Man (the Way I Love You),Aretha  Franklin,pxb-9p5hdRY
Hot Fun in the Summertime,Sly and the Family Stone ,Bg0tFRea0wA
The Night They Drove Old Dixie Down,Band The,v3JaosE-gZE
(Your Love Keeps Lifting Me) Higher and Higher,Jackie Wilson,mzDVaKRApcg
Gimme Some Lovin',The Spencer Davis Group ,ko3m0NBbq1o
Love Shack,B-52’s The,9SOryJvTAGs
Rocket Man,Elton John,DtVBCG6ThDk
Stand!,Sly and the Family Stone ,14yEO8nfqxE
The Wanderer,Dion ,IkoidwsLXCg
Son of a Preacher Man,Dusty Springfield,dp4339EbVn8
I Fall to Pieces,Patsy Cline,iuZTk1hdpMs
Planet Rock,Afrika Bambaataa and the Soul Sonic Force ,hh1AypBaIEk
I Got a Woman,Ray Charles,CnI_LuCJ4Ek
Everyday,Buddy Holly and the Crickets ,GMezwtB1oCU
I'll Feel a Whole Lot Better,Byrds The,to-RVV_3anw
Paper Planes,M.I.A. ,ewRjZoRtu0Y
We Gotta Get Out of This Place,Animals The,wJVpihgwE18
Only the Lonely,Roy Orbison,kjq4wYuwgxs
Sexual Healing,Marvin Gaye,eA4_O3oeJCw
Just Like a Woman,Bob Dylan,dRLXZVojdhQ
Moondance,Van Morrison,6lFxGBB4UGU
Mannish Boy,Muddy Waters,w5IOou6qN1o
Good Times,Chic ,oQT9rT74WYM
Should I Stay Or Should I Go,Clash The,oGIFublvDes
Hoochie Coochie Man,Muddy Waters,fQ4NFsw4bOU
Dance to the Music,Sly and the Family Stone ,Jn2PNlhvy8E
"Oh, Pretty Woman",Roy Orbison,lnRS3A_iIYg
Walk on the Wild Side,Lou Reed,0KaWSOlASWc
Walk Away Renee,The Left Banke ,6uqBTzfcIk4
Spoonful,Howlin’ Wolf ,3LFjHo7Cdrw
Boom Boom,John Lee Hooker,rOyj4ciJk34
Jolene,Dolly Parton,Ixrje2rXLMA
Do You Believe in Magic,Lovin’ Spoonful The,JnbfuAcCqpY
1999,Prince ,weUhBGA8mxo
"Caroline, No",Beach Boys The,7w7ZeSIC6K0
96 Tears,? and the Mysterians ,Y_Ax2N-VmfQ
In My Room,Beach Boys The,l71pbhqnvNM
Gloria,Them ,VlWiQ69DGE0
Bye Bye Love,Everly Brothers The,LRyrWN-fftE
"Reach Out, I'll Be There",Four Tops The,KnDm3qr1Knk
Lean On Me,Bill Withers,-59COFjB6Sk
Try a Little Tenderness,Otis Redding,UnPMoAb4y8U
Positively 4th Street,Bob Dylan,aehwEu8SBSo
Bizarre Love Triangle,New Order ,7uEBuqkkQRk
Loser,Beck ,YgSPaXgAdzE
Flash Light,Parliament ,rYuMXGMcuNA
Hey Joe,Jimi Hendrix Experience The,rXwMrBb2x1Q
Stan,Eminem feat. Dido ,gOMhN-hfMtY
Call Me,Blondie ,StKVS0eI85I
Heart of Glass,Blondie ,WGU_4-5RaxU
Chain of Fools,Aretha  Franklin,o0s5CP2kXsc
Walk This Way,Aerosmith ,4c8O2n1Gfto
Beat It,Michael Jackson,oRdxUFDoQe0
Da Ya Think I’m Sexy?,Rod Stewart,Hphwfq1wLJs
Like A Prayer,Madonna ,rDnUIXF2ly8
One Way or Another,Blondie ,Fnb1xYDViDs
Heart of Gold,Neil Young,__ziwctF1I0
Roxanne,Police The,3T1c7GkzRQQ
Tiny Dancer,Elton John,yYcyacLRPNs
Hit the Road Jack,Ray Charles,UmH-0Pz13Wg
White Room,Cream ,V5BF1V1pbTs
How Deep Is Your Love,Bee Gees ,NQNWQt5VPSM
The Letter,Box Tops The,HIWY8UyW9bw
96 tears,? and the Mysterians ,R7uC5m-IRns
Close to You,Carpenters ,6inwzOooXRU
Smoke on the Water,Deep Purple ,Q2FzZSBD5LE
Reflections of My Life,Marmalade The,xTeI65yrhGw
"Look What They've Done To My Song, Ma",New Seekers The,mGpLawWbaOA
Child in Time,Deep Purple ,YGao3TTXE5k
Evil Ways,Santana ,nPauXWjY4T8
Diary,Bread ,gbiOsYzD-Dc
Raindrops Keep Falling On My Head,B. J. Thomas,JebowNHkA_M
The Long and Winding Road,Beatles The,JrcYPTRcSX0
Get Ready,Rare Earth ,6Ngwmf4Sz84
How Can You Mend a Broken Heart,Bee Gees ,kL9wJAND1WI
"Take Me Home, Country Roads",John Denver,KSmh6FO3T74
Amazing Grace,Judy Collins,p5NCyuRhoGY
The Night They Drove Old Dixie Down,Joan Baez,nnS9M03F-fA
We’ve Only Just Begun,Carpenters ,__VQX2Xn7tI
It's Too Late/I Feel the Earth Move,Carole King,6152P3NNnGk
For All We Know,Carpenters ,v5QkLwZPOXQ
Ain’t No Sunshine,Bill Withers,YuKfiH0Scao
If You Could Read My Mind,Gordon Lightfoot,J4r2KpGyyyA
(Where Do I Begin?) Love Story,Andy  Williams,ad9SV2rb4Ns
Wake Up Little Susie,Everly Brothers The,LojqhHnmyvc
The Loco-Motion,Little Eva,llYN039ixy8
Bad Moon Rising,Creedence Clearwater Revival ,5BmEGm-mraE
