song_title,artist,filename,id_x,artist_name,youtube_code
Rocket Man,Elton John,Rocket Man_Elton John.mp4,354.0,Elton John,DtVBCG6ThDk
Rolling in the Deep,Adele,Rolling in the Deep_Adele .mp4,536.0,Adele ,rYEDA3JcQqw
Sacrifice,Elton John,Sacrifice_Elton John.mp4,581.0,Elton John,NrLkTZrPZA4
See You Again,Wiz Khalifa,See You Again_Wiz Khalifa.mp4,514.0,Wiz Khalifa,RgKAFK5djSk
Shake It Off,Taylor Swift,Shake It Off_Taylor Swift.mp4,579.0,Taylor Swift,2CEotxDS6gc
Shallow,Lady Gaga,Shallow_Lady Gaga.mp4,492.0,Lady Gaga,bo_efYhYU2A
Shape of You,Ed Sheeran,Shape of You_Ed Sheeran.mp4,503.0,Ed Sheeran,JGwWNGJdvx8
Smells Like Teen Spirit,Nirvana,Smells Like Teen Spirit_Nirvana .mp4,11.0,Nirvana ,hTWKbfoikeg
Smoke on the Water,Deep Purple,Smoke on the Water_Deep Purple .mp4,413.0,Deep Purple ,Q2FzZSBD5LE
Smooth Criminal,Michael Jackson,Smooth Criminal_Michael Jackson.mp4,571.0,Michael Jackson,sFvENQBc-F8
Smooth Operator,Sade,Smooth Operator_Sade .mp4,278.0,Sade ,4TYv2PhG89A
Somebody That I Used To Know,Gotye,Somebody That I Used To Know_Gotye .mp4,298.0,Gotye ,8UVNT4wvIGY
Someone Like You,Adele,Someone Like You_Adele .mp4,523.0,Adele ,hLQl3WQQoQ0
Someone You Loved,Lewis Capaldi,Someone You Loved_Lewis Capaldi.mp4,486.0,Lewis Capaldi,FGGo8LFmbjs
Something About the Way You Look Tonight,Elton John,Something About the Way You Look Tonight_Elton John.mp4,586.0,Elton John,B93Tir6l5FA
Something,Beatles The,Something_Beatles The.mp4,199.0,Beatles The,UelDrZ1aFeY
Stairway to Heaven,Led Zeppelin,Stairway to Heaven_Led Zeppelin .mp4,41.0,Led Zeppelin ,9pVH4XDHzx8
Stan,Eminem feat. Dido,Stan_Eminem feat. Dido .mp4,395.0,Eminem feat. Dido ,gOMhN-hfMtY
Stayin’ Alive,Bee Gees,Stayin’ Alive_Bee Gees .mp4,161.0,Bee Gees ,I_izvAbhExY
Strawberry Fields Forever,Beatles The,Strawberry Fields Forever_Beatles The.mp4,76.0,Beatles The,HtUH9z_Oey8
Streets of London,Ralph McTell,Streets of London_Ralph McTell.mp4,558.0,Ralph McTell,SpLMpu2-MXo
Style,Taylor Swift,Style_Taylor Swift.mp4,573.0,Taylor Swift,-CmadmM5cOk
Subaru (JP),Shinji Tanimura,Subaru (JP)_Shinji Tanimura.mp4,618.0,Shinji Tanimura,gbsGmF8u68Y
Sukiyaki (JP),Kyu Sakamoto,Sukiyaki (JP)_Kyu Sakamoto.mp4,617.0,Kyu Sakamoto,sOSnOqSTI0Q
Sunflower,Post Malone,Sunflower_Post Malone.mp4,518.0,Post Malone,ApXoWvfEYVU
Sweet Child O’Mine,Guns n’ Roses,Sweet Child O’Mine_Guns n’ Roses .mp4,165.0,Guns n’ Roses ,1w7OgIMMRc4
Sympathy for the Devil,Rolling Stones The,Sympathy for the Devil_Rolling Stones The.mp4,42.0,Rolling Stones The,Jwtyn-L-2gQ
Take It Easy,Eagles The,Take It Easy_Eagles The.mp4,544.0,Eagles The,AaBw37-nWaY
Tears in Heaven,Eric Clapton,Tears in Heaven_Eric Clapton.mp4,191.0,Eric Clapton,tUU1GLMdnkM
Tequila Sunrise,Eagles The,Tequila Sunrise_Eagles The.mp4,512.0,Eagles The,bZxhQJC9hWk
Thank You,Dido,Thank You_Dido .mp4,507.0,Dido ,EGXtEE-YX7s
The Boxer,Simon and Garfunkel,The Boxer_Simon and Garfunkel .mp4,108.0,Simon and Garfunkel ,ISdjnIHaWsI
The Fate of Ophelia,Taylor Swift,The Fate of Ophelia_Taylor Swift.mp4,505.0,Taylor Swift,ko70cExuzZM
The Moon Represents My Heart (CN),Teresa Teng,The Moon Represents My Heart (CN)_Teresa Teng.mp4,622.0,Teresa Teng,bv_cEeDlop0
The Older I Get,Alan Jackson,The Older I Get_Alan Jackson.mp4,484.0,Alan Jackson,VfJcC5bzNAQ
The Power of Love,Celine Dion,The Power of Love_Celine Dion.mp4,290.0,Celine Dion,Y8HOfcYWZoo
The Sound of Silence,Simon and Garfunkel,The Sound of Silence_Simon and Garfunkel .mp4,179.0,Simon and Garfunkel ,NAEppFUWLfc
The Times They Are A-Changing,Bob Dylan,The Times They Are A-Changing_Bob Dylan.mp4,59.0,Bob Dylan,90WD_ats6eE
Thinking Out Loud,Ed Sheeran,Thinking Out Loud_Ed Sheeran.mp4,494.0,Ed Sheeran,H9kcLTStfpQ
Thriller,Michael Jackson,Thriller_Michael Jackson.mp4,570.0,Michael Jackson,sOnqjkJTMaA
Tian Mi Mi (CN),Teresa Teng,Tian Mi Mi (CN)_Teresa Teng.mp4,621.0,Teresa Teng,tc2tW0jFHPo
Time of Our LIves (CN),Zhao Lei,Time of Our LIves (CN)_Zhao Lei.mp4,520.0,Zhao Lei,WtYx1geh_sg
Time of Our LIves,Zhao Lei,Time of Our LIves_Zhao Lei.mp4,,,
Tiny Dancer,Elton John,Tiny Dancer_Elton John.mp4,406.0,Elton John,yYcyacLRPNs
To Love Somebody,Bee Gees,To Love Somebody_Bee Gees .mp4,590.0,Bee Gees ,0kUsuIvE0_8
Too Much Heaven,Bee Gees,Too Much Heaven_Bee Gees .mp4,566.0,Bee Gees ,i6iBAuwBODA
Total Eclipse of the Heart (Turn Around),Bonnie Tyler,Total Eclipse of the Heart (Turn Around)_Bonnie Tyler.mp4,538.0,Bonnie Tyler,lcOxhH8N3Bo
Un-Break My Heart,Toni Braxton,Un-Break My Heart_Toni Braxton.mp4,535.0,Toni Braxton,p2Rch6WvPJE
Unchained Melody,Righteous Brothers The,Unchained Melody_Righteous Brothers The.mp4,464.0,Righteous Brothers The,EQTLtVjsabM
Waiting for a Girl Like You,Foreigner,Waiting for a Girl Like You_Foreigner .mp4,289.0,Foreigner ,20qVro3bcJI
What A Wonderful World,Louis Armstrong,What A Wonderful World_Louis Armstrong.mp4,553.0,Louis Armstrong,rBrd_3VMC3c
What's Going On,Marvin Gaye,What's Going On_Marvin Gaye.mp4,6.0,Marvin Gaye,H-kA3UtBj4M
What's Up,4 Non Blondes,What's Up_4 Non Blondes .mp4,497.0,4 Non Blondes ,6NXnxTNIWkc
When a Man Loves a Woman,Percy Sledge,When a Man Loves a Woman_Percy Sledge.mp4,53.0,Percy Sledge,zQHrNfCg6v4
While My Guitar Gently Weeps,Beatles The,While My Guitar Gently Weeps_Beatles The.mp4,193.0,Beatles The,VJDJs9dumZI
White Flag,Dido,White Flag_Dido .mp4,499.0,Dido ,j-fWDrZSiZs
Whiter Shade of Pale,Procol Harum,Whiter Shade of Pale_Procol Harum .mp4,57.0,Procol Harum ,_BADDeIQWVQ
Wild Horses,Rolling Stones The,Wild Horses_Rolling Stones The.mp4,186.0,Rolling Stones The,ZNaqBBjrIZw
Wildest Dreams,Taylor Swift,Wildest Dreams_Taylor Swift.mp4,580.0,Taylor Swift,IdneKLhsWOQ
Wind Of Change,Scorpions,Wind Of Change_Scorpions .mp4,562.0,Scorpions ,n4RjJKxsamQ
Wish You Were Here,Pink Floyd,Wish You Were Here_Pink Floyd .mp4,170.0,Pink Floyd ,6qQjvWXrNkg
With A Little Help From My Friends,Joe Cocker,With A Little Help From My Friends_Joe Cocker.mp4,552.0,Joe Cocker,rr0X1wJ7lx8
Woman in Love,Dana Winner,Woman in Love_Dana Winner.mp4,305.0,Dana Winner,aKQGARYH1j0
Wonderful Tonight,Eric Clapton,Wonderful Tonight_Eric Clapton.mp4,260.0,Eric Clapton,vUSzL2leaFM
Yellow,Coldplay,Yellow_Coldplay .mp4,557.0,Coldplay ,yKNxeF4KMsY
Yesterday,Beatles The,Yesterday_Beatles The.mp4,16.0,Beatles The,fCV9oqtwyVA
You Belong With Me,Taylor Swift,You Belong With Me_Taylor Swift.mp4,578.0,Taylor Swift,VuNIsY6JdUw
You Can’t Always Get What You Want,Rolling Stones The,You Can’t Always Get What You Want_Rolling Stones The.mp4,104.0,Rolling Stones The,oqMl5CRoFdk
You Should Be Dancing,Bee Gees,You Should Be Dancing_Bee Gees .mp4,565.0,Bee Gees ,AnV2iqSnty0
You're Beautiful,James Blunt,You're Beautiful_James Blunt.mp4,506.0,James Blunt,oofSnsGkops
You've got a friend,Carole King,You've got a friend_Carole King.mp4,244.0,Carole King,Hnu53l7brEE
Your Man,Josh Turner,Your Man_Josh Turner.mp4,495.0,Josh Turner,nADTbWQof7Y
Your Song,Elton John,Your Song_Elton John.mp4,133.0,Elton John,GlPlfCy1urI
You’re Still The One,Shania Twain,You’re Still The One_Shania Twain.mp4,533.0,Shania Twain,KNZH-emehxA
Zombie,Cranberries The,Zombie_Cranberries The.mp4,525.0,Cranberries The,6Ejga4kJUts
ขอใจเธอแลกเบอร์โทร (TH),หญิงลี ศรีจุมพล,ขอใจเธอแลกเบอร์โทร (TH)_หญิงลี ศรีจุมพล.mp4,600.0,หญิงลี ศรีจุมพล,CKDwsFbq1_c
คนจะรักกัน (TH),สุเทพ วงศ์กำแหง,คนจะรักกัน (TH)_สุเทพ วงศ์กำแหง.mp4,593.0,สุเทพ วงศ์กำแหง,QSY_hjAZsSA
ความเงียบดังที่สุด (TH),Getsunova,ความเงียบดังที่สุด (TH)_Getsunova .mp4,599.0,Getsunova ,TMr6subvuQI
คืนจันทร์ (TH),เสก โลโซ,คืนจันทร์ (TH)_เสก โลโซ.mp4,615.0,เสก โลโซ,G2JFOEFmnnI
คืนรัง (TH),หงา คาราวาน,คืนรัง (TH)_หงา คาราวาน.mp4,608.0,หงา คาราวาน,hCA2aaMHFOs
ซมซาน (TH),เสก โลโซ,ซมซาน (TH)_เสก โลโซ.mp4,613.0,เสก โลโซ,2dSGCzeuPlA
ดอกไม้ให้คุณ (TH),หงา คาราวาน,ดอกไม้ให้คุณ (TH)_หงา คาราวาน.mp4,616.0,หงา คาราวาน,tpyIqj06Acs
ตราบธุลีดิน (TH),ปู่จ๋านลองไมค์,ตราบธุลีดิน (TH)_ปู่จ๋านลองไมค์ .mp4,601.0,ปู่จ๋านลองไมค์ ,V4pdp4d4NWo
ถ้าหัวใจมีปีก (TH),ไข่มุก เพ็ญสินี,ถ้าหัวใจมีปีก (TH)_ไข่มุก เพ็ญสินี.mp4,592.0,ไข่มุก เพ็ญสินี,34AMaQvtAsc
ยิ้มกลางสายฝน (TH),หงา คาราวาน,ยิ้มกลางสายฝน (TH)_หงา คาราวาน.mp4,595.0,หงา คาราวาน,3ImUY-AQSrw
รวมเพลง ใหม่ เจริญปุระ (TH),ใหม่  เจริญปุระ,รวมเพลง ใหม่ เจริญปุระ (TH)_ใหม่  เจริญปุระ.mp4,591.0,ใหม่  เจริญปุระ,Tr30lqzUOKY
รักคงยังไม่พอ (TH),ธนพล อินทฤทธิ์,รักคงยังไม่พอ (TH)_ธนพล อินทฤทธิ์.mp4,606.0,ธนพล อินทฤทธิ์,JXI21WGBItA
รักเอ๋ย (TH),ธงไชย แมคอินไตย์,รักเอ๋ย (TH)_ธงไชย แมคอินไตย์.mp4,602.0,ธงไชย แมคอินไตย์,Qbr7CH40OS4
ลุงขี้เมา (TH),คาราบาว,ลุงขี้เมา (TH)_คาราบาว .mp4,598.0,คาราบาว ,IHvzsDAZCzc
อยู่ตรงนี้ (TH),พงษ์สิทธิ์ คำภีร์,อยู่ตรงนี้ (TH)_พงษ์สิทธิ์ คำภีร์.mp4,605.0,พงษ์สิทธิ์ คำภีร์,w827Ayb9I0w
เสมอ (TH),พงษ์สิทธิ์ คำภีร์,เสมอ (TH)_พงษ์สิทธิ์ คำภีร์.mp4,596.0,พงษ์สิทธิ์ คำภีร์,wHYEYJGURpM
แค่นั้น (TH),พงษ์สิทธิ์ คำภีร์,แค่นั้น (TH)_พงษ์สิทธิ์ คำภีร์.mp4,609.0,พงษ์สิทธิ์ คำภีร์,uJsYYsVb9Ys
